Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,132.300003,132.839996,131.979996,132.839996,112.318649,50146
2020-10-07,132.850006,132.850006,131.919998,132.100006,111.692978,32135
2020-10-08,132.100006,132.100006,129.929993,130.699997,110.509247,53596
2020-10-09,130.639999,130.699997,129.050003,129.449997,109.452354,47475
2020-10-13,129.600006,132.000000,129.600006,131.210007,110.940491,42104
2020-10-14,131.699997,132.149994,131.210007,132.149994,111.735252,36281
2020-10-15,132.149994,136.339996,131.500000,136.270004,115.218773,45604
2020-10-16,136.779999,141.000000,136.779999,138.399994,117.019722,58264
2020-10-19,139.000000,140.639999,138.399994,140.000000,118.372559,50273
2020-10-20,140.000000,142.270004,140.000000,141.250000,119.429466,44684
2020-10-21,141.899994,143.979996,141.250000,143.589996,121.407982,35437
2020-10-22,144.699997,146.970001,143.610001,145.800003,123.276604,43668
2020-10-23,146.000000,146.000000,142.009995,146.000000,123.445679,43960
2020-10-26,145.490005,145.899994,144.899994,145.089996,122.676254,31133
2020-10-27,145.199997,146.000000,145.089996,146.000000,123.445679,20499
2020-10-28,145.199997,146.000000,141.960007,142.000000,120.063614,36626
2020-10-29,142.000000,144.940002,133.000000,144.869995,122.490234,49138
2020-10-30,144.940002,146.000000,144.509995,146.000000,123.445679,27056
2020-11-03,145.500000,145.500000,136.830002,144.000000,121.754631,58964
2020-11-04,144.050003,145.490005,143.889999,144.949997,122.557899,31481
2020-11-05,145.490005,146.500000,144.869995,145.940002,123.394951,35229
2020-11-06,146.000000,149.500000,145.539993,148.789993,125.804665,36915
2020-11-09,148.699997,150.949997,148.039993,150.850006,127.546448,40327
2020-11-10,146.979996,148.839996,143.000000,146.000000,123.445679,66512
2020-11-11,143.990005,147.500000,143.500000,146.119995,123.547150,60032
2020-11-12,146.000000,147.380005,144.960007,145.110001,122.693153,43309
2020-11-13,145.399994,146.699997,144.860001,145.630005,123.132835,58437
2020-11-16,145.649994,149.990005,145.649994,148.850006,125.855415,127115
2020-11-17,138.000000,145.300003,138.000000,145.000000,122.600151,80174
2020-11-18,145.259995,145.990005,145.000000,145.369995,122.912994,28625
2020-11-19,145.509995,145.919998,139.509995,140.740005,118.998268,63748
2020-11-23,140.830002,140.880005,138.149994,139.490005,117.941368,48535
2020-11-24,139.399994,142.000000,139.000000,141.600006,119.725403,28188
2020-11-25,141.899994,144.399994,141.899994,144.000000,121.754631,33340
2020-11-26,143.500000,144.399994,143.399994,143.949997,121.712349,27165
2020-11-27,144.000000,145.869995,143.990005,145.789993,123.268112,31534
2020-11-30,145.789993,146.750000,145.699997,146.750000,124.079803,33192
2020-12-01,146.750000,146.970001,144.820007,145.520004,123.039841,45739
2020-12-02,145.169998,145.899994,145.050003,145.860001,123.327309,25659
2020-12-03,145.850006,146.740005,145.029999,145.809998,123.285034,34524
2020-12-04,145.809998,146.600006,145.009995,145.539993,123.056717,44509
2020-12-07,145.699997,146.300003,142.210007,144.000000,121.754631,57117
2020-12-08,142.199997,142.500000,139.619995,140.160004,118.507866,59132
2020-12-09,141.300003,141.399994,140.300003,141.020004,119.235001,39074
2020-12-10,141.199997,141.389999,139.199997,139.259995,117.746864,40737
2020-12-11,139.309998,140.000000,138.149994,138.839996,117.391777,48588
2020-12-14,138.839996,139.000000,137.500000,137.649994,116.385612,53248
2020-12-15,137.649994,137.990005,135.000000,136.000000,114.990471,65165
2020-12-16,135.630005,138.490005,134.690002,137.600006,116.343315,68564
2020-12-17,137.979996,141.250000,137.820007,139.110001,117.620064,57309
2020-12-18,139.910004,140.949997,139.009995,140.399994,118.710770,44177
2020-12-21,140.399994,141.100006,139.160004,139.979996,118.355659,48436
2020-12-22,140.059998,141.479996,139.979996,141.479996,119.623932,39103
2020-12-23,142.000000,143.000000,141.660004,143.000000,120.909119,38573
2020-12-28,143.000000,145.330002,143.000000,145.089996,122.676254,47735
2020-12-29,145.000000,146.500000,144.789993,146.350006,123.741615,35390
2020-12-30,146.449997,148.000000,146.449997,147.350006,124.587135,41112
2021-01-04,147.350006,150.399994,147.350006,150.110001,126.920753,55550
2021-01-05,150.139999,151.000000,150.100006,150.110001,126.920753,48089
2021-01-06,150.119995,151.479996,150.119995,151.020004,127.690186,45522
2021-01-07,151.059998,153.440002,151.059998,152.080002,128.586426,43140
2021-01-08,152.320007,153.919998,148.639999,150.059998,126.878471,66926
2021-01-11,147.589996,147.800003,142.119995,147.399994,124.629387,71359
2021-01-12,147.399994,150.000000,146.500000,146.500000,123.868454,43603
2021-01-13,147.809998,148.300003,146.509995,146.509995,123.876884,34143
2021-01-14,147.160004,148.100006,146.520004,146.800003,124.122124,31515
2021-01-15,147.000000,148.399994,146.550003,148.000000,125.136726,40072
2021-01-18,148.029999,149.899994,148.000000,149.000000,125.982216,42725
2021-01-19,149.679993,150.059998,149.110001,149.960007,126.793945,43362
2021-01-20,150.000000,151.000000,149.500000,150.300003,127.081390,36562
2021-01-21,150.309998,151.350006,149.509995,151.100006,127.757835,23646
2021-01-22,150.949997,151.000000,149.889999,150.399994,127.165939,30650
2021-01-26,149.000000,150.000000,147.100006,149.009995,125.990685,83303
2021-01-27,149.630005,150.000000,148.899994,149.979996,126.810829,34960
2021-01-28,149.880005,150.000000,149.550003,150.000000,126.827744,44902
2021-01-29,150.000000,152.000000,149.699997,152.000000,128.518799,47886
2021-02-01,153.000000,159.800003,153.000000,159.800003,135.113846,107181
2021-02-02,159.470001,160.279999,157.809998,160.000000,135.282944,78544
2021-02-03,160.000000,161.800003,159.639999,161.289993,136.373672,93877
2021-02-04,150.669998,155.000000,150.050003,153.919998,130.142166,77093
2021-02-05,155.500000,155.770004,153.990005,155.500000,131.478104,59218
2021-02-08,152.000000,153.199997,149.000000,152.839996,129.229034,89818
2021-02-09,151.800003,151.800003,149.199997,149.289993,126.227425,63306
2021-02-10,149.289993,149.979996,149.000000,149.020004,125.999146,52580
2021-02-11,149.380005,149.550003,149.000000,149.300003,126.235886,41809
2021-02-12,149.300003,149.500000,148.000000,148.460007,125.525658,58229
